codigomex2,nombre,serving_size,kcal,carbohydrate,total_fat,protein,fiber,calcium,iron,ironhem,ironnohem,zinc,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folic_acid,food_folate,folate_dfe,vit_b12,vit_a_rae,vit_e,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,chole,sugars
13080,"CEREAL, FRUIT PEBBLES POST",100 g,389.89,85.19,3.7,3.7,0,0,6.67,0,6.67,5.56,22.2,1.39,1.57,18.52,,1.85,370.15,4,633.25,5.56,833,0.13,296.18,1.3,3.7,0,0,0,0
13081,CEREAL GOLD NESTLE,100 g,373.3,84,1.9,5.3,0,300,12.5,0,12.5,7.33,50,1.28,1.4,16.66,5.06,1.67,42.33,28,99.96,0,,0,0,,0.5,2.8,0.4,0,0
13082,"CEREAL, GOLDEN GRAHAMS (NESTLE)",100 g,374,85.1,3.2,5.3,5.6,323,14.5,0,14.5,12.1,19.4,1.2,1.4,16.1,0.37,1.61,304,19,535.8,4.8,472,0.64,129,2,0.4,1.6,1,0,0
13083,"CEREAL, HONEY SMACKS (KELLOGG'S)",100 g,380,88.5,2.2,5.7,5,14,1.5,0,1.5,1.7,22,1.39,1.57,18.5,0.22,1.85,351,19,615.7,5.6,556,0.41,148,2.8,0.5,0.4,0.5,0,0
13084,"CEREAL, LUCKY CHARMS (NESTLE)",100 g,396.66,81.9,4.09,7.9,5,434,16.43,0,16.43,18.62,26.6,1.74,1.72,25.3,0.44,3.01,741,19,1278.7,6.8,847,0.45,146.35,1.4,0.8,1.586,1.542,0,0
13085,"CEREAL, NESQUIK (NESTLE)",100 g,380,78.66,5,5,5.33,370,16.7,0,16.7,13.9,22.2,1.4,1.6,18.5,0.17,1.85,351,19,615.7,5.6,547,0.7,266.56,,1.89,1.852,1.852,0,0
13086,"CEREAL, NUT & HONEY CRUNCH (KELLOGG'S)",100 g,387.09,83.87,3.22,6.45,0.32,20,14.5,0,14.5,0.6,20,1.2,1.37,16.1,,1.61,316.6,28,566.22,4.8,473.3,,137.93,,0.6,2.8,0.4,0,0
13087,"CEREAL, NUTRI FLAKES (QUAKER)",100 g,368.96,83.33,1,6.66,4.33,9,42.66,0,42.66,15.29,43.93,1,1.83,21.33,,2.66,403.33,19,704.66,0,833.33,0.73,173.2,0.2,0.13,0.26,0.33,0,0
13088,"CEREAL, NUTRIDIA (ARROZ, TRIGO, SEMILLAS), (KELLOGGS)",100 g,363.17,73.3,3.33,10,8.33,45,,,,2.89,15,0.2,0.21,2.75,,0.23,95,19,180.5,0,85.2,1.1,76,2,0.66,1,1.66,0,0
13089,"CEREAL, RAISIN BRAN (KELLOGG'S)",100 g,358.49,84.91,1.89,7.55,7.55,0,12.33,0,12.33,3.39,0,0.75,1.08,13.8,0.92,1.84,475,19,826.5,2,386,0.66,169.49,2.1,0,0.339,0.949,0,0
13090,"CEREAL, RAISIN BRAN (TODAS MARCAS EXCEPTO KELLOGG'S)",100 g,342.33,77.62,1.74,7.32,10.73,654.67,22.52,0,22.52,12.82,0.3,1.34,1.54,18.22,9.54,1.81,178.58,19,322.58,5.44,304.67,8.73,97.25,1.37,0.42,0,0,0,0
13091,"CEREAL, RICE KRISPIES (KELLOGG'S)",100 g,383.33,86.66,1.66,7,1,0,14.17,0,14.17,3.33,50,0.67,0.7,9.17,0.6,0.77,,4,4,0,284,3.67,248,0,0.33,0,0,0,0
13092,"CEREAL, SPECIAL K (KELLOGG'S)",100 g,346.66,80,0,6.66,5,23,28,0,28,0.69,68,1.69,1.91,22.6,,6.44,126.67,19,234.34,19.4,500,15.3,112,0.2,0,0,0,0,0
13093,"CEREAL, SPECIAL K COSECHA ROJA (KELLOGG'S)",100 g,363.33,83.33,0,6.67,5,0,14.17,0,14.17,2,40,0.53,0.56,7.33,0.67,0.62,,19,19,0,284,7.33,135.48,1.1,0,0,0,0,0
13094,"CEREAL, SPECIAL K GRANOLA BAJA EN GRASA (KELLOGG'S)",100 g,375,74.8,5.4,13.1,0,40,8.5,0,8.5,1.6,0.7,1,1.05,12.38,,1.16,,19,19,0,284,9.09,56,,1.1,1.6,1.79,0,0
13095,"CEREAL, SPECIAL K SABOR CHOCOLATE (KELLOGG'S)",100 g,400,80,5,6.66,3.33,0,14.17,0,14.17,2,40,0.53,0.56,7.33,0.78,0.62,126.67,19,234.33,0,284,7.33,186.67,1.8,4.33,0.33,0.33,0,0
13096,"CEREAL, SPECIAL K SABOR FRUTA Y YOGURT (KELLOGG'S)",100 g,387.1,83.87,3.23,6.45,6.45,0,14.17,0,14.17,2,40,0.53,0.56,7.33,0.7,0.62,,19,19,0,284,7.33,132,1.2,1.61,0,0,0,0
13097,"CEREAL, SPEEDY LOOPS (KELLOGG'S)",100 g,376,79.69,5,8.85,7.1,425,20.58,0,20.58,17.17,21.4,1.92,1.87,21.4,0.73,2.27,640,19,1107,7.5,834,0.48,186,2.3,0.53,1.1,1.02,0,0
13098,"CEREAL, TRIGO INFLADO AZUCARADO",100 g,380,88.5,2.2,5.7,5,14,1.5,0,1.5,1.7,22,1.39,1.57,18.5,0.22,1.85,351,19,615.7,5.6,556,0.41,148,2.8,0.5,0.4,0.5,0,0
13099,"CEREAL, TRIX (NESTLE)",100 g,384,86.19,3.79,4.9,3.9,313,16.89,0,16.89,14.1,18.8,1.6,1.89,18.79,0.13,2.18,356,19,624.2,4.69,669,0.5,125,1.3,0.5,1.79,1.39,0,0
13100,"CEREAL, ZUCARITAS  (KELLOGG'S)",100 g,373.32,90,0,3.33,1.66,3,26.7,0,26.7,0.15,24.2,1.9,1.73,27.67,0.22,3.57,190,19,342,8.1,450,0.07,112,0.2,0,0,0,0,0
13101,"CEREAL, ZUCARITAS CON FRESA (KELLOGG'S)",100 g,353.33,83.33,0.33,3.99,1,0,14.17,0,14.17,3.33,50,1.33,1.4,18.33,,1.55,,19,19,0,284,3.67,,,0,0,0,0,0
13102,"CEREAL, ZUCARITAS SABOR CHOCOLATE",100 g,366.67,86.67,3.33,3.33,3.33,0,14.17,0,14.17,3.33,50,1.33,1.4,18.33,0.22,1.55,,19,19,0,284,3.67,188,0.2,3.33,0,0,0,0
13103,"CEREAL, ZUCOSOS (NESTLE)",100 g,369,89.2,1.68,3.96,2.2,3,26.7,0,26.7,0.15,24.2,1.9,1.73,27.67,0.22,2.92,362,19,634.4,8.1,450,0.07,188,0.2,0.45,0.27,0.67,0,0
13104,CEREALES AZUCARADOS (PROMEDIO),100 g,379.34,83.75,3.06,5.86,4.37,149.36,15.38,0,15.38,6.79,26.66,1.26,1.43,16.76,1.17,1.75,396.98,19.82,694.69,1.51,437.49,1.07,94.91,1.69,0.895,1.15,0.963,0,0
13105,CRUSLI DE KELLOGG'S,100 g,448.75,65,17.5,7.5,5,,10.62,,,2.5,37.5,5,5.25,6.88,,0.5,237.5,,403.75,1.3,213,2.75,196,,13.75,2.5,1.25,0,0
13106,GRANOLA,100 g,415.29,61.52,15.54,9.89,8.59,30.91,2.75,0,2.75,2.79,0.35,0.4,0.27,2.21,0.82,0.23,0,35,35,0.16,1,1.23,,6.75,4.4,6.67,5.19,2,0
13107,"HOJUELAS DE MAIZ CUBIERTAS DE CHOCOLATE (TIPO KRANKYS), INDUSTRIALIZADAS",100 g,469.08,65.26,20.48,6.58,2.93,,4.25,0,4.25,2,,,0.25,,,,11.4,,19.38,,,,,,14.9,5.05,0.53,,0
13108,HOJUELAS DE TRIGO,100 g,327,81.6,2.5,10.2,17.3,39,62.1,0,62.1,51.7,207,5.17,5.86,69,34.5,7,196.67,19,353.33,20.7,776,46.35,106.67,1.4,0.4,0.4,1.3,0,0
13109,KRAVE CHOCOTELLA,100 g,450,68,16,6.9,3.3,0,14.17,0,14.17,3.33,50,0.67,0.7,9.17,,0.77,,19,19,0,284,3.67,132,,4,0,0,0,0
14000,BUÑUELOS INDUSTRIALIZADOS (BIMBUÑUELOS),100 g,418.18,55.75,23.7,3.03,0,26,2.42,0,2.42,0.26,0,0.18,0.23,2.13,0.22,0.02,34,8,65.8,0.05,2,0.16,0,8,7.392,5.02,11.288,30.3,0
14001,"BUNUELOS, PREPARACION ESTANDARIZADA",100 g,433.43,34.42,31.87,3.7,0.89,29.7,1.47,0,1.47,1.35,0.06,0.13,0.09,1.06,0.17,0.01,42.91,0.1,73.05,0,0.25,2.48,2.31,10.89,7.825,12.633,10.302,8.995,0
14002,CHEESECAKE,100 g,321,25.5,22.5,5.5,0.4,51,0.63,,,0.51,0.4,0.03,0.19,0.19,0.57,0.05,3,15,20.1,0.17,159,0.56,18,4.4,9.921,8.634,1.602,55,0
14003,"CHURRO RELLENO (CAJETA, CHOCOLATE, MERMELADA), PREPARACION ESTANDARIZADA",100 g,542.41,32.54,45.65,2.51,0.39,51.87,0.5,0,0.5,0.41,0.02,0.03,0.06,0.25,0.12,0.02,13.25,2.78,25.31,0.06,28.93,5.72,8.19,16.95,6.572,16.651,20.955,35.467,0
14004,CHURROS INDUSTRIALIZADOS,100 g,411.8,34.22,30.34,2.12,0.06,17.2,0.9,0,0.9,0.01,,0.04,0.06,0.26,,,194.56,,330.75,,,,,,2.28,13.11,13.29,,0
14005,"CHURROS, PREPARACION ESTANDARIZADA",100 g,390.54,23.45,30.89,5.02,0.02,21.47,1.53,0,1.52,1.47,0,0.13,0.14,1.05,0.25,0.03,48.37,4.21,86.43,0.08,66.11,3.22,13.97,9.51,7.321,10.75,11.607,61.531,0
14006,DONA GLASEADA,100 g,426,50.8,22.9,5.2,1.5,60,1.06,,,0.44,0.1,0.23,0.2,1.51,0.44,0.03,34,12,69.8,0.24,3,,,,5.926,12.697,2.909,32,0
14007,DONA GLASEADA O CUBIERTA DE CHOCOLATE,100 g,452,51.33,25.25,4.93,1.9,24,4,,,0.98,1.3,0.16,0.13,1.59,0.13,0.02,37,28,90.9,0.1,4,2.02,0,7.9,13.47,8.618,1.96,19,0
14008,DONA RELLENA DE CREMA,100 g,361,30,24.5,6.4,0.8,25,1.83,,,0.8,0,0.34,0.15,2.24,0.66,0.07,56,14,109.2,0.14,11,0.29,0,8.6,5.43,12.08,3.072,24,0
14009,DONA RELLENA DE MERMELADA,100 g,340,39,18.7,5.9,0.9,25,1.76,,,0.75,0,0.31,0.14,2.14,0.88,0.1,51,17,103.7,0.22,17,0.43,0,7.1,4.843,10.226,2.377,26,0
14010,DONA SENCILLA,100 g,434,47.06,24.93,5.31,1.7,40,2.53,,,0.5,0,0.39,0.3,2.91,0.38,0.05,76,16,145.2,0.06,4,1.99,0,9.8,11.105,8.544,3.915,10,0
14011,"DONAS, INDUSTRIALIZADAS",100 g,397.93,54.29,17.34,5.71,0.6,49,3.07,0,3.07,1.33,0.2,0.18,0.18,1.98,0.44,0.1,57.79,15,113.24,0.17,3,1.7,0,9.8,9.64,12.657,1.693,20,0
14012,"DONAS, PREPARACION ESTANDARIZADA",100 g,463.56,32.45,35.3,5.04,0.02,35.11,1.54,0,1.53,1.57,0,0.14,0.14,1.16,0.22,0.02,49.11,2.21,85.7,0.09,29.52,4.36,8.76,12.88,5.26,12.947,16.148,22.959,0
14013,GALLETA CUBIERTA DE CHOCOLATE,100 g,507,67.87,24.2,4.5,2.3,15,3,,,0.3,0,0.29,0.19,2.5,,0.02,49,9,92.3,0.02,0,2.79,0,6.9,16.5,2.6,3.6,0,0
14014,"GALLETA DULCE (TIPO MARIA, ANIMALITO)",100 g,413.81,76.92,10.1,7.23,3,43,2.75,0,2.75,0.64,0,0.35,0.33,3.47,0.38,0.02,42,14,85.4,0.05,0,0.12,4,5.9,3.007,5.957,1.129,0,0
14015,GALLETA DULCE CUBIERTA DE CHOCOLATE (TIPO MAMUT),100 g,444.48,64.85,18.51,4.79,3.67,46,6.5,0,6.5,0.65,0.1,0.09,0.21,0.78,0.48,0.06,112.27,3,193.86,0.53,1,0.14,0,7,14.38,5.314,0.635,0,0
14016,GALLETA DULCE CUBIERTA DE CHOCOLATE (TIPO TIN LARIN),100 g,469.84,56.59,26.27,2.51,1.44,0,1.24,0,1.24,0.61,0,0.09,0.22,0.64,,0.05,11,5,23.7,0.15,1,2.16,0,6.9,8.207,7.397,3.596,0,0
14017,GALLETA DULCE GRASOSA (CON MANTEQUILLA),100 g,503.37,62.42,30,6.36,3.68,29,2.22,0,2.22,0.38,0,0.37,0.34,3.19,0.49,0.04,70,6,125,0.36,165,0.58,16,1.7,17.203,10.758,2.039,117,0
14018,GALLETA DULCE PARA HELADO (BARQUILLO Y CANASTA),100 g,409.72,80.13,2.73,4.76,1.43,44,4.43,0,4.43,0.75,0,0.51,0.41,5.07,0.43,0.05,0,4,4,0,0,0.07,0,1.5,0.75,1.47,1.452,0,0
14019,"GALLETA DULCE,  CON BOMBON (TIPO ARCOIRIRS)",100 g,398.83,71.66,5.33,6.66,1.66,46,2.53,0,2.53,0.65,0.1,0.09,0.21,0.78,,0.06,,3,3,0.17,1,0.14,,7,5.33,3.33,0,0,0
14020,"GALLETA DULCE, BARRITAS (MARINELA)",100 g,447.76,65.67,18.4,4.47,0,49,1.6,0,1.6,0.3,0,0.13,0.13,1.1,,0.06,45.37,,77.13,1.6,0,8.3,,,12.643,5.421,0.336,0,0
14021,"GALLETA DULCE, CANELITAS (MARINELA)",100 g,490,74,18,6,0,12.67,5.1,0,5.1,6,12,0.32,0.5,6.6,0.93,0.67,114,,193.8,0.67,111.1,4,,,10,6,2,,0
14022,"GALLETA DULCE, PLATIVOLOS O EMPERADOR (GAMESA)",100 g,466.19,68.1,19.05,6.67,3.48,24,7.18,0,7.18,0.57,0,0.23,0.24,2.65,0.33,0.02,45,3.5,80,0,0.5,2.04,,16.2,4.913,12.998,1.289,4.86,0
14023,"GALLETA DULCE, POLVORONES (MARINELA)",100 g,503.59,64.74,21.58,7.19,0,12.67,5.1,0,5.1,6,12,0.32,0.5,6.6,0.93,0.67,164.67,,279.93,0.67,111.1,4,,,3.59,10.79,7.19,,0
14024,"GALLETA DULCE, SUAVICREMAS",100 g,498.79,64.14,24.94,2.38,0,0,5.1,0,5.1,5,90,0.04,0.03,5.5,0.38,0.08,114,8,201.8,0.84,3,3.3,,2.4,13.07,11.87,0,2,0
14025,"GALLETA DULCE, TRIKI TRAKES (MARINELA)",100 g,493.91,69.78,23.26,0,0,0,6.66,0,6.66,4,32.43,0.46,0.57,6.32,,0.95,137.74,43,277.16,0.03,0,3.79,,33.7,11.63,5.81,5.81,0,0
14026,GALLETA INTEGRAL,100 g,413.34,55.53,17.38,8.38,8.58,49,1.6,0,1.6,0.3,0,0.13,0.13,1.1,0.83,0.06,7,28,39.9,0,0,1.41,0,27.2,4.33,7.16,5.49,0,0
